date,energy_wh,energy_kwh
2020-02-02,41940.0,41.94
2020-02-03,56394.0,56.394
2020-02-04,45649.0,45.649
2020-02-05,68255.0,68.255
2020-02-06,68111.0,68.111
2020-02-07,21003.0,21.003
2020-02-08,17451.0,17.451
2020-02-09,29720.0,29.72
2020-02-10,27242.0,27.242
2020-02-11,46176.0,46.176
2020-02-12,71054.0,71.054
2020-02-13,72263.0,72.263
2020-02-14,54444.0,54.444
2020-02-15,72766.0,72.766
2020-02-16,43780.0,43.78
2020-02-17,68976.0,68.976
2020-02-18,64966.0,64.966
2020-02-19,28056.0,28.056
2020-02-20,50144.0,50.144
2020-02-21,75383.0,75.383
2020-02-22,52508.0,52.508
2020-02-23,56171.0,56.171
2020-02-24,62454.0,62.454
2020-02-25,49245.0,49.245
2020-02-26,59297.0,59.297
2020-02-27,77172.0,77.172
2020-02-28,82111.0,82.111
2020-02-29,53542.0,53.542
2020-03-01,41750.0,41.75
2020-03-02,50384.0,50.384
2020-03-03,84963.0,84.963
2020-03-04,86333.0,86.333
2020-03-05,81461.0,81.461
2020-03-06,25700.0,25.7
2020-03-07,58398.0,58.398
2020-03-08,87456.0,87.456
2020-03-09,73865.0,73.865
2020-03-10,73570.0,73.57
2020-03-11,75159.0,75.159
2020-03-12,34811.0,34.811
2020-03-13,20000.0,20.0
2020-03-14,43079.0,43.079
2020-03-15,79214.0,79.214
2020-03-16,86710.0,86.71
2020-03-17,50193.0,50.193
2020-03-18,47448.0,47.448
2020-03-19,69468.0,69.468
2020-03-20,26989.0,26.989
2020-03-21,62738.0,62.738
2020-03-22,72600.0,72.6
2020-03-23,90075.0,90.075
2020-03-24,92355.0,92.355
2020-03-25,83153.0,83.153
2020-03-26,79247.0,79.247
2020-03-27,84549.0,84.549
2020-03-28,66519.0,66.519
2020-03-29,94478.0,94.478
2020-03-30,85413.0,85.413
2020-03-31,58688.0,58.688
2020-04-01,64283.0,64.283
2020-04-02,83253.0,83.253
2020-04-03,91461.0,91.461
2020-04-04,93443.0,93.443
2020-04-05,57035.0,57.035
2020-04-06,86038.0,86.038
2020-04-07,86311.0,86.311
2020-04-08,70833.0,70.833
2020-04-09,74162.0,74.162
2020-04-10,43506.0,43.506
2020-04-11,51727.0,51.727
2020-04-12,99235.0,99.235
2020-04-13,100963.0,100.963
2020-04-14,90659.0,90.659
2020-04-15,92937.0,92.937
2020-04-16,93970.0,93.97
2020-04-17,70569.0,70.569
2020-04-18,94967.0,94.967
2020-04-19,81853.0,81.853
2020-04-20,92060.0,92.06
2020-04-21,90253.0,90.253
2020-04-22,94054.0,94.054
2020-04-23,99694.0,99.694
2020-04-24,55456.0,55.456
2020-04-25,62087.0,62.087
2020-04-26,80811.0,80.811
2020-04-27,87150.0,87.15
2020-04-28,95793.0,95.793
2020-04-29,90843.0,90.843
2020-04-30,98183.0,98.183
2020-05-01,96362.0,96.362
2020-05-02,98829.0,98.829
2020-05-03,89029.0,89.029
2020-05-04,96306.0,96.306
2020-05-05,67423.0,67.423
2020-05-06,78318.0,78.318
2020-05-07,108485.0,108.485
2020-05-08,104960.0,104.96
2020-05-09,93031.0,93.031
2020-05-10,107792.0,107.792
2020-05-11,97836.0,97.836
2020-05-12,104328.0,104.328
2020-05-13,93224.0,93.224
2020-05-14,80770.0,80.77
2020-05-15,77063.0,77.063
2020-05-16,95054.0,95.054
2020-05-17,99709.0,99.709
2020-05-18,97003.0,97.003
2020-05-19,102480.0,102.48
2020-05-20,94698.0,94.698
2020-05-21,102569.0,102.569
2020-05-22,100892.0,100.892
2020-05-23,93484.0,93.484
2020-05-24,88240.0,88.24
2020-05-25,106268.0,106.268
2020-05-26,106520.0,106.52
2020-05-27,105765.0,105.765
2020-05-28,99237.0,99.237
2020-05-29,103577.0,103.577
2020-05-30,108772.0,108.772
2020-05-31,107768.0,107.768
2020-06-01,104715.0,104.715
2020-06-02,103822.0,103.822
2020-06-03,105624.0,105.624
2020-06-04,95624.0,95.624
2020-06-05,101926.0,101.926
2020-06-06,102147.0,102.147
2020-06-07,101260.0,101.26
2020-06-08,99541.0,99.541
2020-06-09,103941.0,103.941
2020-06-10,103532.0,103.532
2020-06-11,103948.0,103.948
2020-06-12,102759.0,102.759
2020-06-13,99231.0,99.231
2020-06-14,102958.0,102.958
2020-06-15,104647.0,104.647
2020-06-16,103554.0,103.554
2020-06-17,99210.0,99.21
2020-06-18,95173.0,95.173
2020-06-19,97814.0,97.814
2020-06-20,88457.0,88.457
2020-06-21,93394.0,93.394
2020-06-22,99178.0,99.178
2020-06-23,104278.0,104.278
2020-06-24,104027.0,104.027
2020-06-25,100084.0,100.084
2020-06-26,102933.0,102.933
2020-06-27,100207.0,100.207
2020-06-28,100271.0,100.271
2020-06-29,100203.0,100.203
